Index,NOC,Year,Season,Host,CompetitorID
562,BUL,2012,Summer,0,64
563,BUL,2014,Winter,0,43
564,BUL,2016,Summer,0,57
565,BUR,1972,Summer,0,1
566,BUR,1988,Summer,0,9
567,BUR,1992,Summer,0,4
568,BUR,1996,Summer,0,5
569,BUR,2000,Summer,0,4
570,BUR,2004,Summer,0,5
571,BUR,2008,Summer,0,6
572,BUR,2012,Summer,0,5
573,BUR,2016,Summer,0,5
574,CAF,1968,Summer,0,1
575,CAF,1984,Summer,0,3
576,CAF,1988,Summer,0,15
577,CAF,1992,Summer,0,18
578,CAF,1996,Summer,0,5
579,CAF,2000,Summer,0,3
580,CAF,2004,Summer,0,4
581,CAF,2008,Summer,0,3
582,CAF,2012,Summer,0,6
583,CAF,2016,Summer,0,6
584,CAM,1956,Summer,0,2
585,CAM,1964,Summer,0,11
586,CAM,1972,Summer,0,14
587,CAM,1996,Summer,0,5
588,CAM,2000,Summer,0,4
589,CAM,2004,Summer,0,4
590,CAM,2008,Summer,0,4
591,CAM,2012,Summer,0,6
592,CAM,2016,Summer,0,6
593,CAN,1900,Summer,0,7
594,CAN,1904,Summer,0,26
595,CAN,1906,Summer,0,4
596,CAN,1908,Summer,0,117
597,CAN,1912,Summer,0,54
598,CAN,1920,Summer,0,63
599,CAN,1924,Summer,0,69
600,CAN,1924,Winter,0,9
601,CAN,1928,Summer,0,96
602,CAN,1928,Winter,0,20
603,CAN,1932,Summer,0,163
604,CAN,1932,Winter,0,40
605,CAN,1936,Summer,0,131
606,CAN,1936,Winter,0,29
607,CAN,1948,Summer,0,151
608,CAN,1948,Winter,0,36
609,CAN,1952,Summer,0,129
610,CAN,1952,Winter,0,45
611,CAN,1956,Summer,0,126
612,CAN,1956,Winter,0,36
613,CAN,1960,Summer,0,114
614,CAN,1960,Winter,0,59
615,CAN,1964,Summer,0,159
616,CAN,1964,Winter,0,67
617,CAN,1968,Summer,0,238
618,CAN,1968,Winter,0,82
619,CAN,1972,Summer,0,269
620,CAN,1972,Winter,0,73
621,CAN,1976,Summer,1,370
622,CAN,1976,Winter,1,90
623,CAN,1980,Winter,0,58
624,CAN,1984,Summer,0,405
625,CAN,1984,Winter,0,68
626,CAN,1988,Summer,1,372
627,CAN,1988,Winter,1,144
628,CAN,1992,Summer,0,341
629,CAN,1992,Winter,0,132
630,CAN,1994,Winter,0,109
631,CAN,1996,Summer,0,307
632,CAN,1998,Winter,0,144
633,CAN,2000,Summer,0,301
634,CAN,2002,Winter,0,154
635,CAN,2004,Summer,0,269
636,CAN,2006,Winter,0,219
637,CAN,2008,Summer,0,299
638,CAN,2010,Winter,1,222
639,CAN,2012,Summer,0,276
640,CAN,2014,Winter,0,252
641,CAN,2016,Summer,0,284
642,CAY,1976,Summer,0,1
643,CAY,1984,Summer,0,10
644,CAY,1988,Summer,0,9
645,CAY,1992,Summer,0,9
646,CAY,1996,Summer,0,8
647,CAY,2000,Summer,0,4
648,CAY,2004,Summer,0,8
649,CAY,2008,Summer,0,6
650,CAY,2010,Winter,0,1
651,CAY,2012,Summer,0,7
652,CAY,2014,Winter,0,2
653,CAY,2016,Summer,0,5
654,CGO,1964,Summer,0,2
655,CGO,1972,Summer,0,5
656,CGO,1980,Summer,0,9
657,CGO,1984,Summer,0,10
658,CGO,1988,Summer,0,7
659,CGO,1992,Summer,0,7
660,CGO,1996,Summer,0,5
661,CGO,2000,Summer,0,5
662,CGO,2004,Summer,0,5
663,CGO,2008,Summer,0,5
664,CGO,2012,Summer,0,7
665,CGO,2016,Summer,0,10
666,CHA,1964,Summer,0,2
667,CHA,1968,Summer,0,4
668,CHA,1972,Summer,0,5
669,CHA,1984,Summer,0,3
670,CHA,1988,Summer,0,6
671,CHA,1992,Summer,0,7
672,CHA,1996,Summer,0,4
673,CHA,2000,Summer,0,3
674,CHA,2004,Summer,0,1
675,CHA,2008,Summer,0,2
676,CHA,2012,Summer,0,2
677,CHA,2016,Summer,0,2
678,CHI,1912,Summer,0,25
679,CHI,1920,Summer,0,2
680,CHI,1924,Summer,0,17
681,CHI,1928,Summer,0,28
682,CHI,1936,Summer,0,45
683,CHI,1948,Summer,0,56
684,CHI,1948,Winter,0,11
685,CHI,1952,Summer,0,61
686,CHI,1952,Winter,0,7
687,CHI,1956,Summer,0,41
688,CHI,1956,Winter,0,7
689,CHI,1960,Summer,0,9
690,CHI,1960,Winter,0,12
691,CHI,1964,Summer,0,16
692,CHI,1964,Winter,0,11
693,CHI,1968,Summer,0,23
694,CHI,1968,Winter,0,11
695,CHI,1972,Summer,0,11
696,CHI,1976,Summer,0,9
697,CHI,1976,Winter,0,11
698,CHI,1984,Summer,0,43
699,CHI,1984,Winter,0,12
700,CHI,1988,Summer,0,20
701,CHI,1988,Winter,0,16
702,CHI,1992,Summer,0,14
703,CHI,1992,Winter,0,12
704,CHI,1994,Winter,0,7
705,CHI,1996,Summer,0,18
706,CHI,1998,Winter,0,6
707,CHI,2000,Summer,0,33
708,CHI,2002,Winter,0,11
709,CHI,2004,Summer,0,26
710,CHI,2006,Winter,0,15
711,CHI,2008,Summer,0,28
712,CHI,2010,Winter,0,10
713,CHI,2012,Summer,0,40
714,CHI,2014,Winter,0,14
715,CHI,2016,Summer,0,43
716,CHN,1932,Summer,0,2
717,CHN,1936,Summer,0,52
718,CHN,1948,Summer,0,23
719,CHN,1952,Summer,0,1
720,CHN,1980,Winter,0,35
721,CHN,1984,Summer,0,232
722,CHN,1984,Winter,0,61
723,CHN,1988,Summer,0,320
724,CHN,1988,Winter,0,15
725,CHN,1992,Summer,0,314
726,CHN,1992,Winter,0,66
727,CHN,1994,Winter,0,34
728,CHN,1996,Summer,0,321
729,CHN,1998,Winter,0,60
730,CHN,2000,Summer,0,292
731,CHN,2002,Winter,0,80
732,CHN,2004,Summer,0,367
733,CHN,2006,Winter,0,124
734,CHN,2008,Summer,1,444
735,CHN,2010,Winter,0,98
736,CHN,2012,Summer,0,342
737,CHN,2014,Winter,0,94
738,CHN,2016,Summer,0,360
739,CIV,1964,Summer,0,10
740,CIV,1968,Summer,0,7
741,CIV,1972,Summer,0,8
742,CIV,1976,Summer,0,8
743,CIV,1984,Summer,0,14
744,CIV,1988,Summer,0,10
745,CIV,1992,Summer,0,11
746,CIV,1996,Summer,0,9
747,CIV,2000,Summer,0,12
748,CIV,2004,Summer,0,5
749,CIV,2008,Summer,0,7
750,CIV,2012,Summer,0,10
751,CIV,2016,Summer,0,15
752,CMR,1964,Summer,0,2
753,CMR,1968,Summer,0,5
754,CMR,1972,Summer,0,15
755,CMR,1976,Summer,0,1
756,CMR,1980,Summer,0,26
757,CMR,1984,Summer,0,36
758,CMR,1988,Summer,0,21
759,CMR,1992,Summer,0,9
760,CMR,1996,Summer,0,13
761,CMR,2000,Summer,0,16
762,CMR,2002,Winter,0,2
763,CMR,2004,Summer,0,16
764,CMR,2008,Summer,0,16
765,CMR,2012,Summer,0,16
766,CMR,2016,Summer,0,13
767,COD,1968,Summer,0,5
768,COD,1984,Summer,0,9
769,COD,1988,Summer,0,18
770,COD,1992,Summer,0,16
771,COD,1996,Summer,0,14
772,COD,2000,Summer,0,3
773,COD,2004,Summer,0,5
774,COD,2008,Summer,0,5
775,COD,2012,Summer,0,4
776,COD,2016,Summer,0,4
777,COK,1988,Summer,0,8
778,COK,1992,Summer,0,2
779,COK,1996,Summer,0,3
780,COK,2000,Summer,0,2
781,COK,2004,Summer,0,3
782,COK,2008,Summer,0,4
783,COK,2012,Summer,0,9
784,COK,2016,Summer,0,9
785,COL,1900,Summer,0,1
786,COL,1932,Summer,0,2
787,COL,1936,Summer,0,6
788,COL,1948,Summer,0,11
789,COL,1956,Summer,0,32
790,COL,1960,Summer,0,20
791,COL,1964,Summer,0,30
792,COL,1968,Summer,0,45
793,COL,1972,Summer,0,56
794,COL,1976,Summer,0,37
795,COL,1980,Summer,0,12
796,COL,1984,Summer,0,48
797,COL,1988,Summer,0,44
798,COL,1992,Summer,0,38
799,COL,1996,Summer,0,56
800,COL,2000,Summer,0,49
801,COL,2004,Summer,0,67
802,COL,2008,Summer,0,84
803,COL,2010,Winter,0,2
804,COL,2012,Summer,0,95
805,COL,2016,Summer,0,109
806,COM,1996,Summer,0,4
807,COM,2000,Summer,0,2
808,COM,2004,Summer,0,3
809,COM,2008,Summer,0,3
810,COM,2012,Summer,0,3
811,COM,2016,Summer,0,4
812,CPV,1996,Summer,0,3
813,CPV,2000,Summer,0,2
814,CPV,2004,Summer,0,3
815,CPV,2008,Summer,0,2
816,CPV,2012,Summer,0,3
817,CPV,2016,Summer,0,5
818,CRC,1936,Summer,0,1
819,CRC,1964,Summer,0,2
820,CRC,1968,Summer,0,24
821,CRC,1972,Summer,0,4
