Year,Season,Country,NOC,Population,gdp_per_capita,athlete_share,Host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,,Lattitude,Longitude
2020,Summer,Switzerland,SUI,8636896,86849,0.009318122,0,13,0.0067845,0.0067845,7.327259825,5.672740175,5.672740175,46.7985624,8.2319736
2020,Summer,Syria,SYR,17500657,870,0.000522512,0,1,-0.002607789,0,0,1,1,34.6401861,39.0494106
2020,Summer,Tajikistan,TJK,9537642,844,0.000957938,0,0,-0.002140394,0,0,0,0,38.861034,71.276093
2020,Summer,Tanzania,TAN,59734213,1090,0.000261256,0,0,-0.002295437,0,0,0,0,-6.5247123,35.7878438
2020,Summer,Thailand,THA,69799978,7190,0.003657581,0,2,0.002323265,0.002323265,2.509126127,-0.509126127,0.509126127,14.8971921,100.83273
2020,Summer,The Gambia,GAM,2416664,791,0.000348341,0,0,-0.003084178,0,0,0,0,13.443182,15.310139
2020,Summer,Timor-Leste,TLS,1318442,1359,0.000261256,0,0,-0.003236788,0,0,0,0,-8.874217,125.727539
2020,Summer,Togo,TOG,8278737,905,0.000348341,0,0,-0.002993752,0,0,0,0,8.7800265,1.0199765
2020,Summer,Tonga,TGA,105697,5125,0.000522512,0,0,-0.003007711,0,0,0,0,-21.178986,-175.198242
2020,Summer,Trinidad and Tobago,TTO,1399491,15384,0.001915876,0,0,-0.0013804,0,0,0,0,10.8677845,-60.9821067
2020,Summer,Tunisia,TUN,11818618,3323,0.005399286,0,2,0.003883036,0.003883036,4.193679271,-2.193679271,2.193679271,33.8439408,9.400138
2020,Summer,Turkey,TUR,84339067,8548,0.009405208,0,13,0.010356493,0.010356493,11.18501284,1.814987161,1.814987161,38.9597594,34.9249653
2020,Summer,Turkmenistan,TKM,6031187,7967,0.000783767,0,0,-0.002638076,0,0,0,0,38.969719,59.556278
2020,Summer,Tuvalu,TUV,11792,4372,0.000174171,0,0,-0.003462776,0,0,0,0,-7.109535,177.64933
2020,Summer,Uganda,UGA,45741000,912,0.002177131,0,4,9.93E-05,9.93E-05,0.107206173,3.892793827,3.892793827,1.5333554,32.2166578
2020,Summer,Ukraine,UKR,44134693,3653,0.013498215,0,19,0.015437016,0.015437016,16.67197715,2.328022853,2.328022853,49.4871968,31.2718321
2020,Summer,United Arab Emirates,UAE,9890400,31982,0.000435426,0,0,-0.003739549,0,0,0,0,24.0002488,53.9994829
2020,Summer,United States,USA,329484123,63416,0.053383262,0,113,0.072688684,0.072688684,78.5037792,34.4962208,34.4962208,37.09024,-95.712891
2020,Summer,Uruguay,URU,3473730,15778,0.000957938,0,0,-0.002665163,0,0,0,0,-32.8755548,-56.0201525
2020,Summer,Uzbekistan,UZB,34232050,1702,0.005660542,0,5,0.004644058,0.004644058,5.015582721,-0.015582721,0.015582721,41.32373,63.9528098
2020,Summer,Vanuatu,VAN,307150,2876,0.000261256,0,0,-0.003296412,0,0,0,0,-15.376706,166.959158
2020,Summer,Venezuela,VEN,28435943,1691,0.003831751,0,4,0.002057266,0.002057266,2.221846941,1.778153059,1.778153059,8.0018709,-66.1109318
2020,Summer,Vietnam,VIE,97338583,3499,0.001567535,0,0,1.83E-05,1.83E-05,0.019797129,-0.019797129,0.019797129,13.2904027,108.4265113
2020,Summer,Virgin Islands,ISV,106290,37233,0.000348341,0,0,-0.004165148,0,0,0,0,18.335765,-64.896335
2020,Summer,Yemen,YEM,29825968,620,0.000435426,0,0,-0.00252242,0,0,0,0,15.552727,48.516388
2020,Summer,Zambia,ZAM,18383956,981,0.002264217,0,0,-0.000221167,0,0,0,0,-14.5186239,27.5599164
2020,Summer,Zimbabwe,ZIM,14862927,1385,0.000435426,0,0,-0.002783487,0,0,0,0,-18.4554963,29.7468414
