Year,season,country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,latitude,longitude
2016,summer,0,TJK,8663580,3991,0.000714432,0,1,-0.003120319,0,0,1,0,0
2016,summer,Lithuania,LTU,2868230,24743,0.00765462,0,4,0.005800399,0.005800399,5.550981767,-1.550981767,55.3500003,23.7499997
2016,summer,Niger,NIG,20788800,925,0.00061237,0,1,-0.002877645,0,0,1,17.7356214,9.3238432
2016,summer,Italy,ITA,60627500,33419,0.028169,0,28,0.036393026,0.036393026,34.8281261,-6.828126103,42.6384261,12.674297
2016,summer,Ethiopia,ETH,103603000,1635,0.00387834,0,8,0.003411684,0.003411684,3.264981385,4.735018615,10.2116702,38.6521203
2016,summer,Colombia,COL,48175000,13326,0.0111247,0,8,0.012332058,0.012332058,11.80177988,-3.801779882,2.8894434,-73.783892
2016,summer,0,TKM,5662370,23813,0.000918555,0,0,-0.003938819,0,0,0,0,0
2016,summer,Burkina Faso,BUR,18646400,1483,0.000510308,0,0,-0.003096854,0,0,0,12.0753083,-1.6880314
2016,summer,Australia,AUS,24190900,48845,0.034701,0,29,0.044426676,0.044426676,42.51632932,-13.51632932,-24.7761086,134.755
2016,summer,Pakistan,PAK,203631000,5223,0.000714432,0,0,0.000476312,0.000476312,0.455830616,-0.455830616,30.3308401,71.247499
2016,summer,Sierra Leone,SLE,7328850,1619,0.000408247,0,0,-0.003465845,0,0,0,8.6400349,-11.8400269
2016,summer,Bulgaria,BUL,7127820,17037,0.00581751,0,3,0.003608602,0.003608602,3.453432068,-0.453432068,42.6073975,25.4856617
2016,summer,Estonia,EST,1315790,24857,0.00469484,0,1,0.00144087,0.00144087,1.378912924,-0.378912924,58.7523778,25.3319078
2016,summer,Guinea,GUI,11738400,1417,0.000510308,0,0,-0.003223092,0,0,0,10.7226226,-10.7083587
2016,summer,Burundi,BDI,10488000,665,0.00102062,0,1,-0.002460784,0,0,1,-3.3634357,29.8870575
2016,summer,Vietnam,VIE,93640400,6062,0.00285773,0,2,0.001496596,0.001496596,1.432242479,0.567757521,13.2904027,108.4265113
2016,summer,Congo (Kinshasa),COD,78789100,836,0.000408247,0,0,-0.002081553,0,0,0,-2.9814344,23.8222636
2016,summer,Togo,TOG,7509950,1400,0.000510308,0,0,-0.003301616,0,0,0,8.7800265,1.0199765
2016,summer,Luxembourg,LUX,582014,57006,0.00153092,0,0,-0.004915192,0,0,0,49.8158683,6.1296751
2016,summer,Zimbabwe,ZIM,14030300,1534,0.00153092,0,0,-0.001695173,0,0,0,-18.4554963,29.7468414
2016,summer,Jamaica,JAM,2906240,7084,0.00591958,0,11,0.004210844,0.004210844,4.029777286,6.970222714,18.1152958,-77.15984546
2016,summer,Netherlands,NED,17030300,45600,0.0214329,0,19,0.025080926,0.025080926,24.0024461,-5.002446095,52.5001698,5.7480821
2016,summer,Jordan,JOR,9554290,11529,0.000816493,0,1,-0.003357708,0,0,1,31.1667049,36.941628
2016,summer,Bahrain,BRN,1425790,41078,0.00336803,0,2,-0.001363263,0,0,2,26.1551249,50.5344606
2016,summer,Bahrain,BRN,419791,41078,0.00336803,0,2,-0.001382161,0,0,2,26.1551249,50.5344606
2016,summer,Haiti,HAI,10840000,1728,0.00102062,0,0,-0.002511035,0,0,0,19.1399952,-72.3570972
2016,summer,Poland,POL,37970100,24838,0.0219433,0,11,0.027330618,0.027330618,26.1554015,-15.1554015,52.215933,19.134422
2016,summer,Oman,OMA,4479220,38515,0.000408247,0,0,-0.005493071,0,0,0,21.0000287,57.0036901
2016,summer,Cameroon,CMR,23926500,2828,0.0013268,0,0,-0.001876711,0,0,0,4.6125522,13.1535811
2016,summer,Libya,LBA,6492160,8096,0.000714432,0,0,-0.0033807,0,0,0,26.8234472,18.1236723
2016,summer,Canada,CAN,36109500,43745,0.0289855,0,22,0.036572988,0.036572988,35.00034913,-13.00034913,61.0666922,-107.9917071
2016,summer,Japan,JPN,126995000,37465,0.0309247,0,41,0.041449434,0.041449434,39.66710836,1.332891644,36.5748441,139.2394179
2016,summer,New Zealand,NZL,4714100,34295,0.0145948,0,18,0.015463775,0.015463775,14.79883253,3.201167469,-41.5000831,172.8344077
2016,summer,United States of America,USA,323072000,53015,0.0507246,0,121,0.073228835,0.073228835,70.07999487,50.92000513,39.7837304,-100.4458825
2016,summer,Trinidad and Tobago,TTO,1377560,29178,0.0034701,0,1,-0.000578471,0,0,1,10.8677845,-60.9821067
2016,summer,El Salvador,ESA,6356140,8280,0.00102062,0,0,-0.002945755,0,0,0,13.8000382,-88.9140683
2016,summer,Brazil,BRA,206163000,13873,0.0351092,1,19,0.063230661,0.063230661,60.51174265,-41.51174265,-10.3333333,-53.2
2016,summer,Cote d'Ivoire,CIV,23822700,3395,0.00153092,0,2,-0.00161077,0,0,2,7.9897371,-5.5679458
2016,summer,Rwanda,RWA,11668800,1758,0.000714432,0,0,-0.002944414,0,0,0,-1.9646631,30.0644358
2016,summer,Malta,MLT,455356,29817,0.000816493,0,0,-0.004506923,0,0,0,35.8885993,14.4476911
2016,summer,Mali,MLI,17965400,1594,0.00061237,0,0,-0.002966471,0,0,0,16.3700359,-2.2900239
2016,summer,Namibia,NAM,2358040,9376,0.00112268,0,0,-0.002930379,0,0,0,-23.2335499,17.3231107
2016,summer,Liberia,LBR,4586790,829,0.000306185,0,0,-0.003624209,0,0,0,5.7499721,-9.3658524
2016,summer,Botswana,BOT,2159930,15198,0.00112268,0,0,-0.003245539,0,0,0,-23.1681782,24.5928742
2016,summer,Albania,ALB,2876100,10342,0.00061237,0,0,-0.003717889,0,0,0,41.000028,19.9999619
2016,summer,Kazakhstan,KAZ,17794100,23842,0.0112268,0,18,0.011347974,0.011347974,10.86001108,7.139988915,47.2286086,65.2093197
2016,summer,Malawi,MAW,17205300,1112,0.000510308,0,0,-0.003104079,0,0,0,-13.2687204,33.9301963
2016,summer,Spain,ESP,46484100,30110,0.0240865,0,17,0.030339775,0.030339775,29.03516481,-12.03516481,39.3262345,-4.8380649
2016,summer,Tunisia,TUN,11303900,11073,0.00510308,0,3,0.002962297,0.002962297,2.834918182,0.165081818,33.8439408,9.400138
2016,summer,Kenya,KEN,49051500,3169,0.00591958,0,13,0.005287126,0.005287126,5.059779715,7.940220285,1.4419683,38.4313975
2016,summer,Madagascar,MAD,24894400,1381,0.00061237,0,0,-0.002824913,0,0,0,-18.9249604,46.4416422
