Year,season,country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,latitude,longitude,Unnamed: 0,year,Country,Difference_Actual_Predicted,Latitude,Longitude
2016.0,summer,Burkina Faso,BUR,18646400.0,1483.0,0.000510308,0,0.0,-0.003096854,0.0,0.0,0.0,12.0753083,-1.6880314,,,,,,
2016.0,summer,Australia,AUS,24190900.0,48845.0,0.034701,0,29.0,0.044426676,0.044426676,42.51632932,-13.51632932,-24.7761086,134.755,,,,,,
2016.0,summer,Pakistan,PAK,203631000.0,5223.0,0.000714432,0,0.0,0.000476312,0.000476312,0.455830616,-0.455830616,30.3308401,71.247499,,,,,,
2016.0,summer,Sierra Leone,SLE,7328850.0,1619.0,0.000408247,0,0.0,-0.003465845,0.0,0.0,0.0,8.6400349,-11.8400269,,,,,,
2016.0,summer,Bulgaria,BUL,7127820.0,17037.0,0.00581751,0,3.0,0.003608602,0.003608602,3.453432068,-0.453432068,42.6073975,25.4856617,,,,,,
2016.0,summer,Estonia,EST,1315790.0,24857.0,0.00469484,0,1.0,0.00144087,0.00144087,1.378912924,-0.378912924,58.7523778,25.3319078,,,,,,
2016.0,summer,Guinea,GUI,11738400.0,1417.0,0.000510308,0,0.0,-0.003223092,0.0,0.0,0.0,10.7226226,-10.7083587,,,,,,
2016.0,summer,Burundi,BDI,10488000.0,665.0,0.00102062,0,1.0,-0.002460784,0.0,0.0,1.0,-3.3634357,29.8870575,,,,,,
2016.0,summer,Vietnam,VIE,93640400.0,6062.0,0.00285773,0,2.0,0.001496596,0.001496596,1.432242479,0.567757521,13.2904027,108.4265113,,,,,,
2016.0,summer,Congo (Kinshasa),COD,78789100.0,836.0,0.000408247,0,0.0,-0.002081553,0.0,0.0,0.0,-2.9814344,23.8222636,,,,,,
2016.0,summer,Togo,TOG,7509950.0,1400.0,0.000510308,0,0.0,-0.003301616,0.0,0.0,0.0,8.7800265,1.0199765,,,,,,
2016.0,summer,Luxembourg,LUX,582014.0,57006.0,0.00153092,0,0.0,-0.004915192,0.0,0.0,0.0,49.8158683,6.1296751,,,,,,
2016.0,summer,Zimbabwe,ZIM,14030300.0,1534.0,0.00153092,0,0.0,-0.001695173,0.0,0.0,0.0,-18.4554963,29.7468414,,,,,,
2016.0,summer,Jamaica,JAM,2906240.0,7084.0,0.00591958,0,11.0,0.004210844,0.004210844,4.029777286,6.970222714,18.1152958,-77.15984546,,,,,,
2016.0,summer,Netherlands,NED,17030300.0,45600.0,0.0214329,0,19.0,0.025080926,0.025080926,24.0024461,-5.002446095,52.5001698,5.7480821,,,,,,
2016.0,summer,Jordan,JOR,9554290.0,11529.0,0.000816493,0,1.0,-0.003357708,0.0,0.0,1.0,31.1667049,36.941628,,,,,,
2016.0,summer,Bahrain,BRN,1425790.0,41078.0,0.00336803,0,2.0,-0.001363263,0.0,0.0,2.0,26.1551249,50.5344606,,,,,,
2016.0,summer,Bahrain,BRN,419791.0,41078.0,0.00336803,0,2.0,-0.001382161,0.0,0.0,2.0,26.1551249,50.5344606,,,,,,
2016.0,summer,Haiti,HAI,10840000.0,1728.0,0.00102062,0,0.0,-0.002511035,0.0,0.0,0.0,19.1399952,-72.3570972,,,,,,
2016.0,summer,Poland,POL,37970100.0,24838.0,0.0219433,0,11.0,0.027330618,0.027330618,26.1554015,-15.1554015,52.215933,19.134422,,,,,,
