Country,NOC,Year,Season,Host,athlete_count_x,Population,GDP per capita,Gold,Silver,Bronze,country_medal_total,athlete_count_y,olympic_total,medal_share,athlete_share,Lattitude,Longitude
199,MLI,1968,Summer,0,2,5780836,923,0,0,0,0,5085,358,0,0.000393314,,
200,MLT,1968,Summer,0,1,307900,3309,0,0,0,0,5085,358,0,0.000196657,,
201,MYA,1968,Summer,0,4,26015239,976,0,0,0,0,5085,358,0,0.000786627,,
202,NCA,1968,Summer,0,16,2264623,4419,0,0,0,0,5085,358,0,0.003146509,,
203,NED,1968,Summer,0,86,12729721,17365,3,3,1,7,5085,358,0.019553073,0.016912488,,
204,NGR,1968,Summer,0,22,53506201,1114,0,0,0,0,5085,358,0,0.00432645,,
205,NIG,1968,Summer,0,2,4263925,1398,0,0,0,0,5085,358,0,0.000393314,,
206,NOR,1968,Summer,0,73,3816486,15224,1,1,0,2,5085,358,0.005586592,0.014355949,,
207,NZL,1968,Summer,0,42,2748100,16809,1,0,2,3,5085,358,0.008379888,0.008259587,,
208,PAK,1968,Summer,0,3,55102690,1361,1,0,0,1,5085,358,0.002793296,0.000589971,,
209,PAN,1968,Summer,0,16,1434676,4752,0,0,0,0,5085,358,0,0.003146509,,
210,PAR,1968,Summer,0,1,2351926,2699,0,0,0,0,5085,358,0,0.000196657,,
211,PER,1968,Summer,0,25,12735491,5874,0,0,0,0,5085,358,0,0.004916421,,
212,PHI,1968,Summer,0,80,33795203,2745,0,0,0,0,5085,358,0,0.015732547,,
213,POL,1968,Summer,0,226,32294655,6881,5,2,11,18,5085,358,0.05027933,0.044444444,,
214,POR,1968,Summer,0,28,8836650,7767,0,0,0,0,5085,358,0,0.005506391,,
215,PUR,1968,Summer,0,86,2662064,8705,0,0,0,0,5085,358,0,0.016912488,,
216,ROU,1968,Summer,0,79,19799831,2860,4,6,5,15,5085,358,0.041899441,0.01553589,,
217,SEN,1968,Summer,0,21,4014107,2389,0,0,0,0,5085,358,0,0.004129794,,
218,SGP,1968,Summer,0,6,2012000,5294,0,0,0,0,5085,358,0,0.001179941,,
219,SLE,1968,Summer,0,4,2644011,1420,0,0,0,0,5085,358,0,0.000786627,,
220,SRI,1968,Summer,0,3,11937607,2291,0,0,0,0,5085,358,0,0.000589971,,
221,SUD,1968,Summer,0,7,9639846,1471,0,0,0,0,5085,358,0,0.001376598,,
222,SUI,1968,Summer,0,128,6067714,21395.39,0,1,4,5,5085,358,0.01396648,0.025172075,,
223,SWE,1968,Summer,0,154,7912273,18428,2,1,1,4,5085,358,0.011173184,0.030285152,,
224,SYR,1968,Summer,0,2,5935850,5270,0,0,0,0,5085,358,0,0.000393314,,
225,TAN,1968,Summer,0,5,12725519,894,0,0,0,0,5085,358,0,0.000983284,,
226,THA,1968,Summer,0,27,34791418,2488,0,0,0,0,5085,358,0,0.005309735,,
227,TTO,1968,Summer,0,16,930792,12248,0,0,0,0,5085,358,0,0.003146509,,
228,TUN,1968,Summer,0,8,4845220,2766,1,0,1,2,5085,358,0.005586592,0.001573255,,
229,TUR,1968,Summer,0,30,33256465,4122,2,0,0,2,5085,358,0.005586592,0.005899705,,
230,UGA,1968,Summer,0,14,8841156,1304,0,1,1,2,5085,358,0.005586592,0.002753196,,
231,USA,1968,Summer,0,401,200706000,23691,45,28,34,107,5085,358,0.298882682,0.07885939,,
232,VEN,1968,Summer,0,24,10702281,14520,1,0,0,1,5085,358,0.002793296,0.004719764,,
233,ZAM,1968,Summer,0,7,3918872,1741,0,0,0,0,5085,358,0,0.001376598,,
234,AFG,1972,Summer,0,8,11791222,1007,0,0,0,0,5864,373,0,0.001364256,,
235,ALB,1972,Summer,0,5,2243126,3451,0,0,0,0,5864,373,0,0.00085266,,
236,ALG,1972,Summer,0,7,15285992,3746,0,0,0,0,5864,373,0,0.001193724,,
237,ARG,1972,Summer,0,92,24653172,12170,0,1,0,1,5864,373,0.002680965,0.01568895,,
238,AUS,1972,Summer,0,195,13177000,19772,8,7,2,17,5864,373,0.045576408,0.033253752,,
239,AUT,1972,Summer,0,109,7544201,17169,0,1,2,3,5864,373,0.008042895,0.018587995,,
240,BAR,1972,Summer,0,17,241523,10567,0,0,0,0,5864,373,0,0.002899045,,
241,BEL,1972,Summer,0,77,9711115,18336,0,2,0,2,5864,373,0.00536193,0.013130969,,
242,BEN,1972,Summer,0,3,3043563,1640,0,0,0,0,5864,373,0,0.000511596,,
243,BOL,1972,Summer,0,14,4682392,3602,0,0,0,0,5864,373,0,0.002387449,,
244,BRA,1972,Summer,0,64,99859388,5480,0,0,2,2,5864,373,0.00536193,0.010914052,,
245,BUL,1972,Summer,0,174,8576200,8145,6,10,5,21,5864,373,0.056300268,0.029672578,,
246,BUR,1972,Summer,0,1,5825174,1253,0,0,0,0,5864,373,0,0.000170532,,
247,CAM,1972,Summer,0,14,7302114,920,0,0,0,0,5864,373,0,0.002387449,,
248,CAN,1972,Summer,0,269,22218463,20837,0,2,3,5,5864,373,0.013404826,0.045873124,,
249,CHA,1972,Summer,0,5,3815253,800,0,0,0,0,5864,373,0,0.00085266,,
250,CHI,1972,Summer,0,11,123611,8520,0,0,0,0,5864,373,0,0.001875853,,
251,CHI,1972,Summer,0,11,10103675,8520,0,0,0,0,5864,373,0,0.001875853,,
252,CIV,1972,Summer,0,8,5576026,2887,0,0,0,0,5864,373,0,0.001364256,,
253,CMR,1972,Summer,0,15,6867170,1612,0,0,0,0,5864,373,0,0.002557981,,
254,COL,1972,Summer,0,56,22516429,5348,0,1,2,3,5864,373,0.008042895,0.009549795,,
255,CRC,1972,Summer,0,4,1944170,6564,0,0,0,0,5864,373,0,0.000682128,,
256,CUB,1972,Summer,0,133,9025347,3253,3,1,4,8,5864,373,0.021447721,0.022680764,,
257,DEN,1972,Summer,0,100,4991596,21579,1,0,0,1,5864,373,0.002680965,0.017053206,,
