NOC,Year,Medal_Bronze,Medal_Silver,Medal_Gold
TCH,1956,0,0,0
TCH,1960,0,1,0
TCH,1964,1,0,0
TCH,1968,1,2,1
TCH,1972,2,0,1
TCH,1976,0,1,0
TCH,1980,1,0,0
TCH,1984,4,2,0
TCH,1988,2,1,0
TCH,1992,3,0,0
TGA,2014,0,0,0
THA,2002,0,0,0
THA,2006,0,0,0
THA,2014,0,0,0
TJK,2002,0,0,0
TJK,2006,0,0,0
TJK,2010,0,0,0
TJK,2014,0,0,0
TLS,2014,0,0,0
TOG,2014,0,0,0
TPE,1972,0,0,0
TPE,1976,0,0,0
TPE,1984,0,0,0
TPE,1988,0,0,0
TPE,1992,0,0,0
TPE,1994,0,0,0
TPE,1998,0,0,0
TPE,2002,0,0,0
TPE,2006,0,0,0
TPE,2010,0,0,0
TPE,2014,0,0,0
TTO,1994,0,0,0
TTO,1998,0,0,0
TTO,2002,0,0,0
TUR,1936,0,0,0
TUR,1948,0,0,0
TUR,1956,0,0,0
TUR,1960,0,0,0
TUR,1964,0,0,0
TUR,1968,0,0,0
TUR,1976,0,0,0
TUR,1984,0,0,0
TUR,1988,0,0,0
TUR,1992,0,0,0
TUR,1994,0,0,0
TUR,1998,0,0,0
TUR,2002,0,0,0
TUR,2006,0,0,0
TUR,2010,0,0,0
TUR,2014,0,0,0
UKR,1994,1,0,1
UKR,1998,0,1,0
UKR,2002,0,0,0
UKR,2006,3,0,0
UKR,2010,0,0,0
UKR,2014,1,0,1
URS,1956,6,3,7
URS,1960,9,5,7
URS,1964,6,8,12
URS,1968,3,6,6
URS,1972,3,6,9
URS,1976,8,7,15
URS,1980,7,7,12
URS,1984,11,11,7
URS,1988,8,11,12
URU,1998,0,0,0
USA,1924,1,2,1
USA,1928,2,2,1
USA,1932,2,5,4
USA,1936,2,0,1
USA,1948,2,4,2
USA,1952,1,7,4
USA,1956,1,3,2
USA,1960,4,4,3
USA,1964,5,2,1
USA,1968,1,5,1
USA,1972,3,2,3
USA,1976,5,3,3
USA,1980,2,4,6
USA,1984,0,5,4
USA,1988,4,1,2
USA,1992,2,4,5
USA,1994,2,5,6
USA,1998,4,2,6
USA,2002,9,13,10
USA,2006,10,10,9
USA,2010,12,16,8
USA,2014,10,6,10
UZB,1994,0,0,1
UZB,1998,0,0,0
UZB,2002,0,0,0
UZB,2006,0,0,0
UZB,2010,0,0,0
UZB,2014,0,0,0
VEN,1998,0,0,0
VEN,2002,0,0,0
VEN,2006,0,0,0
VEN,2014,0,0,0
YUG,1924,0,0,0
YUG,1928,0,0,0
YUG,1936,0,0,0
YUG,1948,0,0,0
YUG,1952,0,0,0
YUG,1956,0,0,0
YUG,1964,0,0,0
YUG,1968,0,0,0
YUG,1972,0,0,0
YUG,1976,0,0,0
YUG,1980,0,0,0
YUG,1984,0,1,0
YUG,1988,1,2,0
YUG,1992,0,0,0
ZIM,2014,0,0,0
