NOC,Year,winter_athlete_count
LIE,1968,17
LIE,1972,10
LIE,1976,19
LIE,1980,16
LIE,1984,19
LIE,1988,36
LIE,1992,18
LIE,1994,25
LIE,1998,19
LIE,2002,18
LIE,2006,12
LIE,2010,4
LIE,2014,5
LTU,1928,4
LTU,1992,13
LTU,1994,13
LTU,1998,18
LTU,2002,21
LTU,2006,14
LTU,2010,12
LTU,2014,20
LUX,1928,1
LUX,1936,2
LUX,1988,3
LUX,1992,5
LUX,1994,5
LUX,1998,1
LUX,2006,1
LUX,2014,1
MAD,2006,2
MAR,1968,8
MAR,1984,7
MAR,1988,6
MAR,1992,23
MAR,2010,2
MAR,2014,4
MDA,1994,4
MDA,1998,4
MDA,2002,9
MDA,2006,10
MDA,2010,11
MDA,2014,5
MEX,1928,1
MEX,1984,3
MEX,1988,18
MEX,1992,28
MEX,1994,1
MEX,2002,2
MEX,2010,2
MEX,2014,1
MGL,1964,22
MGL,1968,10
MGL,1972,8
MGL,1980,10
MGL,1984,9
MGL,1988,9
MGL,1992,11
MGL,1994,2
MGL,1998,3
MGL,2002,4
MGL,2006,2
MGL,2010,2
MGL,2014,2
MKD,1998,3
MKD,2002,4
MKD,2006,5
MKD,2010,4
MKD,2014,6
MLT,2014,2
MNE,2010,2
MNE,2014,3
MON,1984,2
MON,1988,3
MON,1992,2
MON,1994,3
MON,1998,2
MON,2002,2
MON,2006,9
MON,2010,5
MON,2014,10
NED,1928,7
NED,1936,18
NED,1948,15
NED,1952,23
NED,1956,16
NED,1960,13
NED,1964,12
NED,1968,26
NED,1972,26
NED,1976,23
NED,1980,28
NED,1984,28
NED,1988,25
NED,1992,37
NED,1994,39
NED,1998,45
NED,2002,42
NED,2006,48
NED,2010,53
NED,2014,66
NEP,1924,1
NEP,2002,2
NEP,2006,1
NEP,2010,1
NEP,2014,1
NOR,1924,36
NOR,1928,34
NOR,1932,33
NOR,1936,44
NOR,1948,62
NOR,1952,72
NOR,1956,66
NOR,1960,52
NOR,1964,70
NOR,1968,83
NOR,1972,88
NOR,1976,69
NOR,1980,73
NOR,1984,69
NOR,1988,79
NOR,1992,117
NOR,1994,117
NOR,1998,129
NOR,2002,144
NOR,2006,138
