NOC,Year,summer_athlete_count
HUN,1968,220
HUN,1972,259
HUN,1976,207
HUN,1980,284
HUN,1988,241
HUN,1992,271
HUN,1996,229
HUN,2000,173
HUN,2004,174
HUN,2008,152
HUN,2012,135
HUN,2016,153
INA,1952,3
INA,1956,12
INA,1960,23
INA,1968,5
INA,1972,7
INA,1976,11
INA,1984,20
INA,1988,37
INA,1992,38
INA,1996,29
INA,2000,38
INA,2004,29
INA,2008,19
INA,2012,19
INA,2016,24
IND,1900,5
IND,1920,7
IND,1924,20
IND,1928,11
IND,1932,9
IND,1936,12
IND,1948,46
IND,1952,56
IND,1956,47
IND,1960,26
IND,1964,80
IND,1968,12
IND,1972,29
IND,1976,11
IND,1980,47
IND,1984,34
IND,1988,32
IND,1992,41
IND,1996,33
IND,2000,41
IND,2004,57
IND,2008,60
IND,2012,69
IND,2016,87
IOA,1992,69
IOA,2000,4
IOA,2012,4
IOA,2016,9
IRI,1900,1
IRI,1948,39
IRI,1952,23
IRI,1956,17
IRI,1960,24
IRI,1964,69
IRI,1968,14
IRI,1972,34
IRI,1976,65
IRI,1988,23
IRI,1992,38
IRI,1996,18
IRI,2000,34
IRI,2004,37
IRI,2008,55
IRI,2012,57
IRI,2016,56
IRL,1924,38
IRL,1928,38
IRL,1932,18
IRL,1948,64
IRL,1952,23
IRL,1956,21
IRL,1960,54
IRL,1964,32
IRL,1968,44
IRL,1972,69
IRL,1976,41
IRL,1980,50
IRL,1984,49
IRL,1988,67
IRL,1992,63
IRL,1996,85
IRL,2000,60
IRL,2004,43
IRL,2008,50
IRL,2012,67
IRL,2016,75
IRQ,1948,13
IRQ,1960,25
IRQ,1964,16
IRQ,1968,4
IRQ,1980,26
IRQ,1984,11
IRQ,1988,13
IRQ,1992,8
IRQ,1996,3
IRQ,2000,4
IRQ,2004,8
IRQ,2008,4
IRQ,2012,8
IRQ,2016,5
ISL,1908,1
ISL,1912,2
ISL,1936,6
ISL,1948,24
ISL,1952,15
ISL,1956,2
ISL,1960,11
ISL,1964,5
ISL,1968,16
ISL,1972,16
ISL,1976,22
ISL,1980,12
ISL,1984,20
ISL,1988,27
ISL,1992,17
ISL,1996,15
ISL,2000,29
ISL,2004,20
ISL,2008,18
ISL,2012,20
ISL,2016,14
ISR,1952,31
ISR,1956,3
ISR,1960,43
ISR,1964,13
ISR,1968,23
ISR,1972,16
ISR,1976,19
ISR,1984,63
ISR,1988,26
ISR,1992,42
ISR,1996,31
ISR,2000,44
ISR,2004,43
ISR,2008,56
ISR,2012,53
ISR,2016,54
ISV,1968,5
ISV,1972,13
ISV,1976,25
ISV,1984,44
ISV,1988,36
ISV,1992,30
ISV,1996,11
ISV,2000,12
ISV,2004,9
ISV,2008,8
ISV,2012,9
ISV,2016,7
ITA,1896,1
ITA,1900,36
ITA,1904,1
ITA,1906,82
ITA,1908,58
ITA,1912,61
ITA,1920,155
ITA,1924,248
ITA,1928,195
ITA,1932,118
ITA,1936,280
ITA,1948,233
ITA,1952,270
ITA,1956,144
ITA,1960,282
ITA,1964,185
ITA,1968,204
ITA,1972,259
ITA,1976,227
ITA,1980,146
ITA,1984,261
ITA,1988,262
ITA,1992,300
ITA,1996,328
ITA,2000,298
ITA,2004,309
ITA,2008,316
ITA,2012,268
ITA,2016,276
IVB,1984,9
IVB,1988,4
IVB,1992,4
IVB,1996,5
IVB,2000,1
IVB,2004,1
IVB,2008,2
IVB,2012,2
IVB,2016,4
JAM,1948,23
JAM,1952,13
JAM,1956,10
JAM,1964,23
JAM,1968,28
JAM,1972,39
JAM,1976,27
JAM,1980,20
JAM,1984,53
JAM,1988,32
JAM,1992,37
JAM,1996,49
JAM,2000,46
JAM,2004,48
JAM,2008,49
JAM,2012,46
JAM,2016,58
JOR,1980,6
JOR,1984,15
JOR,1988,9
JOR,1992,5
JOR,1996,5
JOR,2000,8
JOR,2004,8
JOR,2008,7
JOR,2012,9
JOR,2016,8
JPN,1912,4
JPN,1920,25
JPN,1924,31
JPN,1928,45
JPN,1932,161
JPN,1936,269
JPN,1952,110
JPN,1956,184
JPN,1960,213
JPN,1964,326
JPN,1968,197
JPN,1972,220
JPN,1976,248
JPN,1984,263
JPN,1988,316
JPN,1992,297
JPN,1996,302
JPN,2000,260
JPN,2004,269
JPN,2008,282
JPN,2012,270
JPN,2016,303
KAZ,1996,125
KAZ,2000,127
KAZ,2004,108
KAZ,2008,120
KAZ,2012,118
KAZ,2016,110
KEN,1956,15
KEN,1960,14
KEN,1964,26
KEN,1968,34
KEN,1972,49
KEN,1984,48
KEN,1988,67
KEN,1992,51
KEN,1996,50
KEN,2000,45
KEN,2004,35
KEN,2008,47
KEN,2012,48
KEN,2016,58
KGZ,1996,39
KGZ,2000,59
KGZ,2004,32
KGZ,2008,22
KGZ,2012,15
KGZ,2016,19
KIR,2004,3
KIR,2008,2
KIR,2012,3
KIR,2016,3
KOR,1948,38
KOR,1952,20
KOR,1956,36
KOR,1960,46
KOR,1964,181
KOR,1968,57
KOR,1972,26
KOR,1976,29
KOR,1984,175
KOR,1988,351
KOR,1992,208
KOR,1996,261
KOR,2000,208
KOR,2004,222
KOR,2008,209
KOR,2012,193
KOR,2016,176
KOS,2016,8
KSA,1972,11
KSA,1976,13
KSA,1984,22
KSA,1988,13
KSA,1992,15
KSA,1996,15
KSA,2000,17
KSA,2004,16
KSA,2008,15
KSA,2012,20
KSA,2016,11
KUW,1968,2
KUW,1972,4
KUW,1976,15
KUW,1980,32
KUW,1984,24
KUW,1988,28
KUW,1992,19
KUW,1996,16
KUW,2000,12
KUW,2004,11
KUW,2008,8
KUW,2012,12
LAO,1980,19
LAO,1988,3
LAO,1992,7
LAO,1996,2
LAO,2000,3
LAO,2004,5
LAO,2008,4
LAO,2012,3
LAO,2016,5
LAT,1924,34
LAT,1928,21
LAT,1932,13
LAT,1936,30
LAT,1992,37
LAT,1996,55
LAT,2000,58
LAT,2004,45
LAT,2008,50
LAT,2012,46
LAT,2016,32
LBA,1968,1
LBA,1980,24
LBA,1988,7
LBA,1992,5
LBA,1996,5
LBA,2000,3
LBA,2004,8
LBA,2008,6
LBA,2012,4
LBA,2016,7
LBR,1956,8
LBR,1960,6
LBR,1964,2
LBR,1972,5
LBR,1984,7
LBR,1988,11
LBR,1996,4
LBR,2000,7
LBR,2004,2
LBR,2008,4
LBR,2012,3
LBR,2016,3
LCA,1996,5
LCA,2000,5
LCA,2004,2
LCA,2008,4
LCA,2012,4
LCA,2016,5
LES,1972,2
LES,1980,7
LES,1984,5
LES,1988,6
LES,1992,8
LES,1996,5
LES,2000,6
LES,2004,3
LES,2008,5
LES,2012,4
LES,2016,9
LIB,1948,9
LIB,1952,9
LIB,1960,18
LIB,1964,5
LIB,1968,15
LIB,1972,30
LIB,1976,4
LIB,1980,19
LIB,1984,27
LIB,1988,31
LIB,1992,18
LIB,1996,1
LIB,2000,6
LIB,2004,5
LIB,2008,6
LIB,2012,10
LIB,2016,9
LIE,1936,8
LIE,1948,2
LIE,1952,2
LIE,1960,8
LIE,1964,3
LIE,1968,3
LIE,1972,12
LIE,1976,9
LIE,1984,8
LIE,1988,16
LIE,1992,8
LIE,1996,2
